timestamp,retailer,category,section,brand,product_name,pack_size,flavor,retailer_sku,canonical_url,status,price,currency,source,baseline,baseline_db,regular_price,pct_off,deal_strength,price_per_unit,unit_source,image_url,availability_raw,availability_norm,pickup_available,shipping_available
2026-09-25T15:15:29.823686+00:00,Harris Teeter,Energy Drink,Drinks,Ghost®,Ghost Energy Drink,1,Welch's Grape,0081012852819,https://www.harristeeter.com/p/ghost-zero-sugar-welch-s-grape-energy-drink-can/0081012852819,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0081012852819,both,both,1,1
2026-09-25T15:15:31.322649+00:00,Harris Teeter,Energy Drink,Drinks,Ghost®,Ghost Energy Drink,1,Orange Cream,0081008581218,https://www.harristeeter.com/p/ghost-zero-sugar-orange-cream-energy-drink-can/0081008581218,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0081008581218,both,both,1,1
2026-09-25T15:23:28.448265+00:00,Target,Bars,Food,Barebells,Barebells Protein Bar,4,Birthday Cake,94299305,https://www.target.com/p/barebells-nutrition-bars-birthday-cake-7-76oz-4pk/-/A-94299305,ok,8.07,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",9.59,9.59,,0.1584984358706986,💪 Strong Deal,2.0175,db,https://target.scene7.com/is/image/Target/GUEST_f9bfc807-ae56-4a92-8e9c-98d60c95fbe4?wid=600&hei=600&qlt=80,,,,
2026-09-25T15:06:09.085720+00:00,Walmart,Bars,Food,Larabar,Larabar Minis,20,Chocolate Chip Cookie,415045248,https://www.walmart.com/ip/Larabar-Chocolate-Chip-Cookie-Dough-Mini-Bars-Gluten-Free-Vegan-Bar-20-ct/415045248?classType=VARIANT&from=/search,ok,12.29,USD,dom_hero,14.49,14.49,,0.15182884748102146,💪 Strong Deal,0.6145,db,https://i5.walmartimages.com/seo/Larabar-Chocolate-Chip-Cookie-Dough-Mini-Bars-Gluten-Free-Vegan-Bar-20-ct_099f7a33-c679-4730-ace9-92ea4c4351bd.9170b1c022827f81d698a905b4e3c548.jpeg?odnHeight=576&odnWidth=576&odnBg=FFFFFF,both,both,1,1
2026-09-25T15:28:59.747123+00:00,Target,Bars,Food,ONE,ONE Protein Bar,4,Reese's Peanut Butter Lovers,91981096,https://www.target.com/p/one-bar-reese-39-s-peanut-butter-lovers-flavored-protein-bars-8-48oz-4ct/-/A-91981096,ok,6.79,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",7.99,7.99,,0.15018773466833543,💪 Strong Deal,1.6975,db,https://target.scene7.com/is/image/Target/GUEST_2f80e0b9-c991-4467-8df3-29bbae1a8eb5?wid=600&hei=600&qlt=80,,,,
2026-09-25T15:29:05.672057+00:00,Target,Bars,Food,ONE,ONE Protein Bar,4,Hershey's Cookies 'n' Crème,91981097,https://www.target.com/p/one-bar-hershey-39-s-cookies-n-creme-flavored-protein-bars-8-48oz-4ct/-/A-91981097,ok,6.79,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",7.99,7.99,,0.15018773466833543,💪 Strong Deal,1.6975,db,https://target.scene7.com/is/image/Target/GUEST_e43a4b64-659e-499d-a2e7-9011dce8f97d?wid=600&hei=600&qlt=80,,,,
2026-09-25T15:29:24.955070+00:00,Target,Bars,Food,ONE,ONE Protein Bar,4,Hershey's Double Chocolate,94733498,https://www.target.com/p/one-bar-hershey-39-s-double-chocolate-flavored-standard-protein-bars-8-48oz-4pk-18gms-protein/-/A-94733498,ok,6.79,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",7.99,7.99,,0.15018773466833543,💪 Strong Deal,1.6975,db,https://target.scene7.com/is/image/Target/GUEST_ac3e39b8-965f-428c-a460-1a8f02022abb?wid=600&hei=600&qlt=80,,,,
2026-09-25T15:28:52.717144+00:00,Target,Bars,Food,Pure Protein,Pure Protein Bar,12,Chewy Chocolate Chip,50409156,https://www.target.com/p/pure-protein-20g-protein-bar-chewy-chocolate-chip-12pk/-/A-50409156,ok,14.44,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",16.99,16.99,,0.150088287227781,💪 Strong Deal,1.2033,db,https://target.scene7.com/is/image/Target/GUEST_93b3242a-e6d2-45eb-ab46-f25e6957fb16?wid=600&hei=600&qlt=80,,,,
2026-09-25T15:30:50.265036+00:00,Target,Bars,Food,Power Crunch,Power Crunch Bar,5,Lemon Meringue,94720134,https://www.target.com/p/power-crunch-energy-lemon-meringue-protein-bar-5ct/-/A-94720134,ok,5.86,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",6.89,6.89,,0.14949201741654564,💪 Strong Deal,1.1720,db,https://target.scene7.com/is/image/Target/GUEST_101202f1-cccb-4cb5-8315-18331c62eeab?wid=600&hei=600&qlt=80,,,,
2026-09-25T15:41:11.493340+00:00,Target,Wraps,Food,La Banderita,La Banderita Carb Counter,8,Zero Net Carb Flour Tortilla Wraps,91945257,https://www.target.com/p/la-banderita-carb-counter-zero-net-carb-soft-taco-11-9oz/-/A-91945257#lnk=sametab,ok,4.84,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",5.69,5.69,,0.1493848857644992,💪 Strong Deal,0.6050,db,https://target.scene7.com/is/image/Target/GUEST_9d87ebf9-7ef0-4a06-a23a-cb30b595384d?wid=1200&hei=1200&qlt=80,online_only,online_only,,1
